Intersection,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsT,Signal,MaxSlope,EmpSF_T,EmpT,StMetersT,StSegT
SR-108 & Coralwood Rd,37.695507,-120.994387,10,Stanislaus,28686,10.26416451,59.6167314,0,21.12065916,1,0,0,0,0,0,0.0084,32500,161,7358.899792,89
STA 108 Crawford Avenue,37.718421,-120.995049,10,Stanislaus,185,5.22036123,22.31585572,0.172628911,6.587795327,1,0,0,0,0,0,0.0058,2500,7,3006.836764,10
STA 108 Frances Ave,37.653615,-120.993778,10,Stanislaus,66152,11.09971042,150.2734248,0.28614824,54.81405436,1,0,0,0,0,0,0.0142,98750,203,8523.091256,98
STA 108 PM 36.151 Crane Road,37.754655,-120.881646,10,Stanislaus,7877,8.971702527,74.78338846,0.158331424,24.11038018,1,0,1,1,0,0,0.0082,0,0,2893.278753,13
STA-108-23.365 McHenry & Elmwood Ct,37.650151,-120.993698,10,Stanislaus,54618,10.9081188,216.670643,2.259808248,89.59670058,1,0,0,0,0,0,0.0142,87500,154,9578.679512,108
STA-108-23.89 Fairmont Ave,37.657329,-120.993856,10,Stanislaus,115955,11.66095747,152.9027696,0.425473955,56.43858221,1,0,0,0,0,0,0.002,246250,481,8200.877108,86
STA-108-31.77 P&terson Rd (Riverbank),37.73284,-120.945442,10,Stanislaus,53411,10.88577201,225.0735082,3.587715365,63.63038854,1,1,0,0,0,0,0.0103,51250,105,7434.740734,63
STA-108 & 120 Jct,37.766665,-120.847077,10,Stanislaus,101384,11.52667058,148.1714065,2.062840882,53.4725075,2,0,0,1,1,1,0.0089,191250,532,11183.45067,99
STA-132-Daly Ave-16.81-2nd day,37.638217,-120.963241,10,Stanislaus,39545,10.58519457,111.4563706,0.785660832,40.01030492,1,0,0,0,0,0,0.005,20000,30,7126.717245,48
Sunl& - Line,37.361374,-118.404679,9,Inyo,16979,9.739732624,30.90541693,1.549943294,14.57785461,0,0,1,1,0,0,0,1250,42,3550.16155,38
SR 49  &  Hulbert,38.92979,-121.088705,3,Placer,20247,9.915761963,82.67073889,0,29.69396464,1,0,0,1,0,1,0.0203,101250,283,6088.507019,60
Gay St,40.418324,-120.660632,2,Lassen,82112,11.31583946,72.19389485,1.673717903,35.05858807,1,0,0,1,2,0,0.0624,163750,402,9855.06909,97
Sutter St,38.353596,-120.777227,10,Amador,33618,10.42281695,14.80421891,0.248002739,6.818045855,1,0,1,0,1,0,0.0512,32500,102,7427.378533,84
TAHITI11 & PCH,34.036358,-118.537223,7,Los Angeles,2995,8.004699844,146.4671692,1.854272626,60.28977003,1,1,0,0,0,0,0.0132,0,5,6110.261176,60
SR 49  &  Kemper-New Airport Road,38.932377,-121.090781,3,Placer,13091,9.479680327,83.74330721,0,30.24852443,1,0,0,1,0,1,0.0852,390000,421,7599.986646,70
SR 65 & SR137,36.210797,-119.136128,6,Tulare,4798,8.475954652,1.009619202,0.008903168,0.281340095,2,0,0,1,0,1,0.0049,2500,3,2553.199537,8
US 395 & See Vee Ln.,37.375872,-118.413823,9,Inyo,11913,9.385385604,17.49042201,1.048713628,8.419723311,1,0,0,0,0,0,0,13750,26,5463.102273,65
US101 & Ost,40.804125,-124.156467,1,Humboldt,176305,12.07997073,93.31015461,5.537449388,30.66259288,1,0,0,1,0,0,0.0141,77500,222,10797.14251,126
Valeria St,36.981824,-120.635558,10,Merced,48098,10.7809959,82.86169966,0,18.4218228,0,1,0,1,0,0,0.0075,1250,4,6700.112364,60
Victor Rd Onramp 99,38.136569,-121.25672,10,San Joaquin,2473,7.813187672,157.9678346,0.017038531,42.13355909,0,0,1,0,0,0,0.0028,1250,64,10537.41202,90
Overl& & National,34.032462,-118.417609,7,Los Angeles,157439,11.96679337,204.0015198,3.469630638,78.98883401,0,0,0,1,1,1,0.1084,181250,495,12316.014,137
Weatherlow,40.417665,-120.658008,2,Lassen,109065,11.59969932,71.96262267,1.650824406,34.99496553,1,1,0,1,2,1,0.0528,108750,414,8455.862857,85
Wilton Place & SMB intersection,34.09072,-118.313559,7,Los Angeles,1642182,14.3115364,1054.986548,77.14474038,372.1222993,1,1,0,1,0,1,0.0146,51250,130,8950.020465,68
Yaney & Main,37.369464,-118.39527,9,Inyo,279401,12.54040331,48.36237527,1.513474048,21.73899087,1,0,0,1,0,1,0,116250,487,6053.619447,53
SR 49  &  Atwood,38.935177,-121.093318,3,Placer,34308,10.44313387,83.236953,0,29.98671926,1,1,0,1,0,1,0.0302,440000,439,7785.875493,107
SR 99  &  Hazel Street,39.365952,-121.687919,3,Butte,53856,10.89406912,58.78057788,3.220623936,15.81337804,1,0,0,1,0,0,0.0047,50000,69,6009.3954,43
SR 49  &  Willow Creek Drive,38.938482,-121.09599,3,Placer,32846,10.39958528,81.07674093,0,28.86980585,1,0,0,1,0,1,0.0269,95000,176,7088.310589,93
SR 49  &  Bell Road,38.942033,-121.097089,3,Placer,186954,12.13861788,63.67027294,0,23.90812248,1,1,0,1,0,1,0.0219,420000,273,7452.23263,87
SR 49  &  Educ&ion Street,38.944392,-121.097868,3,Placer,44094,10.69407902,47.03858424,0,19.66220466,1,0,0,0,0,1,0.0282,37500,15,8997.351353,106
SR 49  &  Quartz Drive,38.947845,-121.099022,3,Placer,6299,8.748146328,88.76768635,0,34.50181293,1,0,0,0,0,1,0.0235,6250,14,8678.134324,104
SR 49  &  Shale Ridge Road,38.953001,-121.100624,3,Placer,2919,7.978996713,46.67398017,0,19.49887132,1,0,0,0,0,0,0.069,16250,23,6306.235801,101
SR 49  &  Dry Creek Road,38.956638,-121.101343,3,Placer,37462,10.53108239,42.9683719,0,15.84043194,1,0,1,1,0,1,0.0546,101250,134,6911.717179,90
SR 49  &  North of Dry Creek,38.957556,-121.101596,3,Placer,3001,8.006701179,40.06224201,0,12.81482118,1,0,0,0,0,0,0.0356,121250,146,7546.725485,91
Bell Road  &  Quartz - Auburn,38.942404,-121.094327,3,Placer,38371,10.55505727,62.31999283,0,24.50332221,0,1,0,1,0,1,0,465000,548,6856.562174,92
SR 99  &  Spruce Street,39.366979,-121.687933,3,Butte,156804,11.9627519,59.40338554,3.254323565,15.96924563,1,0,0,1,0,0,0.0045,93750,120,5845.853038,43
Elm Ave  &  I-80 EB Ramps,38.903309,-121.070494,3,Placer,25407,10.14278004,98.36235551,3.380439985,47.82421233,0,1,0,0,0,1,0.0879,33750,163,12939.53621,218
Elm Ave  &  I-80 WB Ramps,38.903524,-121.073212,3,Placer,25407,10.14278004,67.26199586,1.208281666,34.64876943,0,1,0,0,0,1,0.072,366250,432,14090.59695,272
Hornet Off Ramp,38.552413,-121.41247,3,Sacramento,42244,10.65121763,32.34372971,2.001012716,5.942199391,0,0,1,0,0,0,0,395000,143,10909.83579,108
I-80  &  W&t Ave SB to WB On Ramp,38.647107,-121.383226,3,Sacramento,183716,12.12114637,29.01511791,0.785657273,8.270244208,2,0,0,0,0,1,0.0356,91250,104,14617.54844,124
I-80  &  W&t Ave NB to WB On Ramp,38.646575,-121.382767,3,Sacramento,86510,11.3680153,34.29256561,0.716360241,9.788658627,2,0,0,0,0,0,0.0497,65000,50,15097.29824,129
SR 20  &  Rocca Way,39.141787,-121.631931,3,Sutter,23146,10.0495773,121.5690714,2.299133072,52.21545714,1,0,1,0,0,1,0.0017,1735000,1166,8160.768861,75
SR 99  &  Hunn Road,39.121811,-121.634638,3,Sutter,1494,7.309213035,126.7352001,0.714063206,50.07479993,1,0,0,1,0,0,0.0055,57500,296,7968.554167,59
SR 99  &  Cherry Street,39.360926,-121.687909,3,Butte,26690,10.19204428,59.65651224,3.268020048,16.0325946,1,0,0,0,0,0,0.0073,313750,227,3762.542289,31
SR 99  &  Franklin Road,39.127338,-121.634559,3,Sutter,45895,10.73411148,162.1958909,1.933799477,59.21462292,1,1,0,1,0,1,0.0086,117500,168,6781.694445,72
SR 99  &  Bridge Street,39.132415,-121.63455,3,Sutter,82200,11.31691059,164.7011883,2.443427603,54.33307528,1,1,0,1,0,1,0.0079,468750,681,5745.916433,64
SR 99  &  Sunsweet Blvd,39.135711,-121.634611,3,Sutter,8967,9.101306562,134.7737265,1.779727955,41.19163561,1,0,1,0,0,1,0.0048,86250,325,4496.140019,42
SR 99  &  SR 20,39.141886,-121.634611,3,Sutter,21920,9.995154787,134.2152729,1.262217399,47.16140267,2,0,0,1,0,1,0.0085,7500,40,8152.651778,72
SR 99  &  Elm Street,39.273396,-121.660639,3,Sutter,73632,11.20683501,56.21918239,0.547795363,14.77542586,1,0,0,1,0,0,0.0031,32500,53,10482.60118,116
SR 99  &  East 20th NB On Ramp,39.726945,-121.807814,3,Butte,15219,9.630299992,113.7046963,5.09842154,36.87854292,1,1,0,1,0,0,0.0172,336250,598,7922.457432,50
SR 99  &  Pennington Road,39.27608,-121.6612,3,Sutter,109735,11.60582,29.36616,0.2060057,8.071649,1,0,1,1,0,0,0.0066,21250,71,9843.439,106
SR 99  &  Kola St.,39.27905,-121.6613,3,Sutter,35153,10.46747,17.82729,0.008259186,5.291279,1,0,0,1,0,0,0.005,61250,67,7993.481,69
SR 113  &  Bailey Road,39.0032,-121.6627,3,Sutter,1317,7.183112,0.8634377,0,0.3043898,0,1,0,1,1,0,0.0029,0,30,3254.274,4
Bridge St  &  Oji Way,39.13241,-121.6369,3,Sutter,331789,12.71225,164.3081,0.7114181,47.62437,0,1,0,0,0,1,0.0025,395000,497,7339.662,68
Woodl& Main Street  &  I-5 NB Offramp,38.67721,-121.7446,3,Yolo,33742,10.4265,87.22133,2.261325,28.1492,0,1,0,0,0,1,0.0051,77500,47,8118.751,110
Woodl& Main Street  &  I-5 SB Onramp,38.67725,-121.7461,3,Yolo,39044,10.57244,89.36671,1.713405,28.29059,0,0,0,0,0,0,0.0109,110000,88,10481.71,122
Woodl& Main Street  &  Pioneer Ave,38.67725,-121.7469,3,Yolo,39044,10.57244,94.66968,1.187875,29.38862,1,0,1,1,0,1,0.0031,192500,252,11558.91,141
Woodl& Main Street  &  SR 113 NB Ramps,38.67722,-121.7495,3,Yolo,69413,11.14783,106.1863,0.2060271,31.85489,0,0,0,0,0,1,0.011,126250,205,12522.94,141
Woodl& Main Street  &  SR 113 SB Ramps,38.67728,-121.753,3,Yolo,67002,11.11248,106.0735,0.205744,31.82272,0,0,1,1,0,1,0.0036,0,135,8952.542,71
Otis Street & Liberty Boulevard,33.95907,-118.1956,7,Los Angeles,251923,12.43688,91.62292,0.831947,26.1563,0,1,0,1,0,0,0.0053,1250,27,6725.512,46
Otis Street & Tweedy Boulevard,33.94334,-118.1977,7,Los Angeles,49286,10.8054,663.8327,2.751303,145.997,0,2,0,1,0,1,0.0051,370000,437,10507.87,92
Santa Fe Avenue & Southern Avenue,33.95298,-118.2243,7,Los Angeles,918289,13.73027,534.1143,6.448256,126.9221,1,1,0,1,0,1,0.0052,0,0,9274.386,54
Garfield Avenue & Gardendale Avenue,33.92293,-118.169,7,Los Angeles,23466,10.06331,146.652,0.8659286,37.1509,1,1,0,1,0,0,0.0062,1250,41,8800.477,87
California Avenue & Liberty Boulevard,33.96007,-118.2052,7,Los Angeles,523224,13.16776,780.3714,4.596733,185.9821,0,1,0,1,0,1,0.0054,16250,37,9020.678,66
101 NB Ramps & HWY 166,34.99632,-120.4343,5,San Luis Obispo,406,6.006356,1.148327,0.001759498,0.4144216,0,0,0,1,0,0,0.0271,1250,22,7432.004,40
101 NB Ramps & Tefft St,35.03708,-120.4842,5,San Luis Obispo,134186,11.80698,63.27858,0.1888339,20.55076,0,0,0,1,0,1,0.0171,36250,95,7884.17,76
Avila Beach Drive & 1st St,35.18051,-120.7359,5,San Luis Obispo,394719,12.88593,8.080437,0,4.648728,0,1,0,0,0,1,0.0309,17500,113,5517.596,47
Avila Beach Drive & Ontario Rd,35.18108,-120.7042,5,San Luis Obispo,7067,8.863191,9.72743,0,5.596253,0,1,0,1,0,0,0.0197,26250,25,5247.093,26
Avila Beach Drive & San Luis Bay Dr,35.18786,-120.719,5,San Luis Obispo,8772,9.07932,9.727429,0,5.596253,0,1,0,1,0,1,0.0216,0,0,5176.013,24
Avila Beach Dr & Shell Beach Rd / 101 SB Off,35.17976,-120.7004,5,San Luis Obispo,5603,8.631058,6.909611,0.02996806,3.861573,0,0,0,1,0,0,0.0405,0,0,8302.99,53
HWY 1 & Valley Rd,35.09811,-120.582,5,San Luis Obispo,1646,7.406104,10.80398,0.3245638,4.974304,1,0,0,1,0,0,0.0344,0,0,1836.247,6
HWY 1 & Willow Rd,35.04667,-120.5697,5,San Luis Obispo,33863,10.43008,27.93116,0,9.598312,0,0,1,0,0,0,0.0088,25000,12,3902.517,22
HWY 166 & Hutton Rd,34.99616,-120.4354,5,San Luis Obispo,4955,8.508153,1.401424,0.000291382,0.5047453,0,1,0,0,0,0,0.0307,2500,137,7487.506,41
101 NB Ramps & Thompson Ave,35.07206,-120.5149,5,San Luis Obispo,3303,8.102587,1.12104,0.006764222,0.3697993,0,0,0,1,0,0,0.0538,0,0,7751.226,43
Pomeroy Rd & Los Berros Rd,35.07858,-120.5425,5,San Luis Obispo,397,5.983939,9.062388,0,2.920978,0,2,0,0,0,0,0.0157,0,1,3517.656,33
San Luis Bay Drive & 101 NB Ramps,35.19603,-120.6984,5,San Luis Obispo,1462,7.287561,1.022848,0.04109857,0.4532649,0,0,0,1,0,0,0.0113,0,0,9524.48,32
San Luis Bay Drive & 101 SB Ramps,35.19611,-120.7002,5,San Luis Obispo,1634,7.398787,3.467659,0.02955543,1.89775,0,1,0,0,0,0,0.0937,0,0,8309.553,28
San Luis Bay Drive & Ontario Rd,35.19613,-120.7006,5,San Luis Obispo,3192,8.068403,4.090217,0.02661603,2.26558,0,1,0,1,0,0,0.1184,0,0,8141.151,27
Tefft St & Mary St,35.0357,-120.4867,5,San Luis Obispo,70616,11.16501,95.5106,0.3638829,30.29128,0,1,0,1,0,1,0.0236,411250,569,6401.612,58
Tefft St & Orchard Rd,35.02896,-120.4963,5,San Luis Obispo,83108,11.3279,95.38866,0.3630963,30.25595,0,1,0,1,1,1,0.0325,2500,11,5214.926,52
Tefft St & Pomeroy Rd,35.03083,-120.4951,5,San Luis Obispo,13426,9.504948,89.13248,0.3227369,28.44355,0,1,0,1,1,1,0.0415,1250,7,5554.035,62
Tefft St & Thompson Ave,35.04291,-120.4761,5,San Luis Obispo,37022,10.51927,37.35054,0.08739727,12.21029,0,2,0,1,0,1,0.041,41250,108,8500.968,86
Avila Beach Dr. & San Miguel St. on,35.1821,-120.7327,5,San Luis Obispo,13234,9.490545,8.051293,0,4.631961,0,1,0,0,0,0,0.0143,20000,2717,5517.985,44
101 SB Offramp/Frontage Rd & Tefft St,35.03651,-120.4853,5,San Luis Obispo,211570,12.26231,85.88161,0.313075,27.36197,0,1,0,1,0,1,0.0273,202500,398,8080.056,76
Hwy 227 & Price Cyn Rd,35.20072,-120.6089,5,San Luis Obispo,957,6.863804,5.168124,0.03080579,2.038618,0,1,0,1,0,1,0.0088,1250,1,4107.449,20
Las Tablas Rd & Florence St,35.55438,-120.7103,5,San Luis Obispo,49383,10.80736,62.33832,0,23.53761,0,0,2,0,0,0,0.0247,2500,8,9355.444,93
Main St & Cambria Dr,35.56447,-121.0959,5,San Luis Obispo,56683,10.94523,11.38442,0.2718295,5.611315,0,1,1,0,0,0,0,16250,34,6504.283,50
Main St & Ramada Dr,35.56526,-120.7013,5,San Luis Obispo,949,6.85541,28.1974,0.02242153,10.88827,0,1,1,0,0,0,0.053,0,0,8809.237,51
Main St & Vineyard Dr,35.54376,-120.7098,5,San Luis Obispo,9688,9.178643,65.58668,0,24.70051,0,1,0,1,1,0,0.0278,0,0,5267.785,48
Mission St & 14th St,35.7528,-120.6961,5,San Luis Obispo,194182,12.17655,35.43917,0.1440031,10.51223,0,1,0,1,0,0,0.0065,40000,44,9992.418,104
101 SB Ramps & HWY 166,34.99617,-120.4351,5,San Luis Obispo,12399,9.425371,1.349107,0.000594854,0.4860747,0,0,0,1,0,0,0.0317,2500,87,7432.004,40
N. Ocean Ave & Cayucos Dr,35.44953,-120.9058,5,San Luis Obispo,978964,13.79425,20.75336,0.2627008,12.34694,0,1,0,1,0,0,0.0209,117500,192,6549.384,81
Nacimiento Lake Dr & Chimney Rock RD,35.68984,-120.7975,5,San Luis Obispo,962,6.869015,1.228925,0.2091767,0.3958029,0,1,1,0,0,0,0,0,0,3687.289,11
101 SB Ramps & Los Berros Rd,35.07174,-120.5175,5,San Luis Obispo,6607,8.795885,8.142782,0.000783295,2.625552,0,0,0,1,0,0,0.055,0,0,8001.232,48
Willow Rd & Pomeroy Rd,35.04783,-120.5243,5,San Luis Obispo,1566,7.356281,7.786046,0.07276833,3.071504,0,1,0,0,0,0,0.0317,0,0,2686.297,16
Avila Beach Drive & 101 SB Onramp,35.17976,-120.7,5,San Luis Obispo,829,6.720221,6.481674,0.04231727,3.565462,0,0,0,0,0,0,0.0363,0,0,8551.288,54
Hoover Rd & Buckley Rd,35.23581,-120.6543,5,San Luis Obispo,2824,7.94591,11.43213,0.1949468,4.125405,0,1,0,0,0,0,0.0161,0,0,1674.086,6
Las Tablas Rd & US Highway 101 (NB),35.5544,-120.7114,5,San Luis Obispo,64808,11.07918,52.78135,0,20.11626,0,0,1,1,0,1,0.0446,2500,8,8908.496,87
Las Tablas Rd & US Highway 101 (SB),35.5544,-120.7125,5,San Luis Obispo,77159,11.25362,40.65702,0,15.77579,0,0,1,0,0,1,0.037,0,0,7384.312,75
Los Berros Rd & Valley Rd,35.10323,-120.5815,5,San Luis Obispo,880,6.779923,20.39782,0.7071412,9.248318,0,1,0,0,0,0,0.0102,1250,5,5238.591,41
Los Osos Valley Rd & Foothill Blvd,35.27661,-120.7116,5,San Luis Obispo,1850,7.522941,13.35093,0.1259105,4.440896,0,1,0,1,0,1,0.0135,0,0,2697.811,11
Los Osos Valley Rd & South Bay Blvd,35.31023,-120.8253,5,San Luis Obispo,17768,9.785154,47.20045,0.2324633,22.53423,0,2,0,1,0,1,0.0322,158750,250,6570.942,55
Main St & Sixth St,35.54815,-120.7061,5,San Luis Obispo,122704,11.71753,65.58669,0,24.70051,0,1,0,1,0,0,0.021,76250,188,6038.197,65
Main St & Theater Dr,35.56634,-120.7027,5,San Luis Obispo,864,6.761574,29.29505,0.002697318,11.65688,0,1,0,1,0,0,0.0348,40000,84,8743.585,46
Misson St & River R,35.74733,-120.6842,5,San Luis Obispo,103159,11.54403,29.25215,0.1189266,8.681858,0,1,0,0,0,0,0,0,0,3289.081,30
Orchard Ave & Division St,35.02197,-120.4888,5,San Luis Obispo,87649,11.3811,114.3494,0.5852589,35.27851,0,1,1,1,0,1,0.0352,50000,76,6381.846,58
South Bay Blvd & Nipomo Ave (,35.31652,-120.8234,5,San Luis Obispo,879,6.778786,59.21955,0.4293204,25.57363,0,1,0,1,0,0,0.0333,0,8,5039.674,40
State Highway 46 & Ramada Dr,35.58919,-120.6949,5,San Luis Obispo,9536,9.162829,6.32966,0.03506899,2.649187,0,0,0,0,0,1,0.0349,47500,95,8732.551,43
State Highway 46 & US Highway 101 (SB),35.58934,-120.696,5,San Luis Obispo,2600,7.863267,10.96844,0.01616891,4.438419,0,0,0,1,0,1,0.0489,91250,79,9757.705,50
Vineyard Dr & US Highway 101 (SB),35.54338,-120.7154,5,San Luis Obispo,24195,10.0939,15.11998,0,6.019505,0,0,1,0,0,1,0.0334,0,0,7466.02,55
LOVR & 10th,35.31114,-120.8322,5,San Luis Obispo,50811,10.83587,131.9305,0.4515793,58.14004,0,1,0,0,0,1,0.0295,215000,256,6878.074,54
LOVR & 9th,35.31128,-120.8331,5,San Luis Obispo,71480,11.17717,142.8916,0.6424126,62.77332,0,1,0,1,0,1,0.0501,305000,422,8139.401,62
LOVR & Doris,35.31267,-120.8479,5,San Luis Obispo,147896,11.90426,117.8987,0.8312014,50.47727,0,1,1,1,1,1,0.0588,1250,6,7173.342,55
LOVR & Fairchild,35.31075,-120.8285,5,San Luis Obispo,117124,11.67099,87.71277,0.2870036,39.69869,0,1,0,0,0,0,0.0278,212500,304,6369.768,68
10th St & US 101 SB Off / Cemetery Rd,35.74792,-120.7009,5,San Luis Obispo,861,6.758096,10.59846,0.04158678,3.203579,0,0,0,1,0,0,0.0398,2500,28,8324.585,81
LOVR & Pine,35.31261,-120.8448,5,San Luis Obispo,15501,9.64866,158.8017,0.8212811,68.62836,0,1,0,0,0,0,0.0244,15000,37,8184.637,56
Mission & 10th,35.74758,-120.697,5,San Luis Obispo,14640,9.591513,35.43916,0.1440031,10.51223,0,1,0,0,0,0,0.0077,0,21,8757.895,88
10th St & 101 NB Ramps,35.74787,-120.7001,5,San Luis Obispo,2583,7.856707,20.9122,0.08410954,6.238094,0,0,0,1,0,0,0.0466,3750,35,8827.637,87
South Bay Blvd & Santa Ysabel Ave,35.32995,-120.8233,5,San Luis Obispo,3466,8.150757,73.09378,0.6394589,27.91867,0,0,1,1,1,1,0.0244,1250,6,5398.115,46
SR 1 & Pier Ave,35.10734,-120.6234,5,San Luis Obispo,38809,10.56641,57.47782,0,24.30811,1,0,1,0,0,1,0.0226,8750,54,7371.81,76
California & SanLuis,35.28459,-120.6526,5,San Luis Obispo,458069,13.03478,98.74103,3.556074,36.11695,0,1,0,0,0,0,0.0197,268750,283,6150.753,73
Chorro & Monterey,35.28055,-120.6634,5,San Luis Obispo,1987133,14.5022,135.5689,19.42085,72.2154,0,1,1,0,0,1,0.0441,922500,1152,10552.46,113
Johnson & Buchon,35.28079,-120.6537,5,San Luis Obispo,106217,11.57324,174.0339,7.981147,75.31705,0,1,0,1,0,0,0.0156,18750,27,6033.233,74
Johnson & Lizzie,35.27899,-120.6505,5,San Luis Obispo,128804,11.76605,34.04195,0.8121341,13.16334,0,1,0,1,1,1,0.0488,3.00E+05,722,5936.373,77
Johnson & Pismo,35.2815,-120.6544,5,San Luis Obispo,117699,11.67589,214.766,10.06704,93.4013,0,1,0,1,0,0,0.0229,26250,40,7299.586,86
Monterey & Morro,35.28124,-120.6623,5,San Luis Obispo,3325516,15.01714,135.5689,19.42085,72.2154,0,1,0,1,0,1,0.0705,1446250,2241,10123.36,111
Monterey & Osos,35.28179,-120.6614,5,San Luis Obispo,1879455,14.44649,135.7594,19.41927,72.33216,0,1,0,1,0,1,0.0421,977500,2590,10201.16,109
Osos & Buchon,35.27807,-120.658,5,San Luis Obispo,237359,12.37733,192.1125,10.01606,82.23072,0,1,1,1,0,0,0.0269,20000,77,9748.544,96
Osos & Pacific,35.27965,-120.6595,5,San Luis Obispo,503397,13.12913,195.6922,11.42911,86.47754,0,1,0,1,0,0,0.0208,505000,930,10083.56,106
Osos & Pismo,35.27885,-120.6587,5,San Luis Obispo,491101,13.10441,203.1374,10.09102,87.61683,0,1,1,1,0,1,0.0257,132500,176,10152.63,102
SantaBarbara & Upham,35.27432,-120.6561,5,San Luis Obispo,187462,12.14133,113.5188,7.522663,45.80003,0,1,0,1,0,1,0.036,73750,123,8665.8,91
Broad & Rockview,35.25843,-120.6479,5,San Luis Obispo,47595,10.77048,86.04441,5.490001,36.9177,1,0,0,0,0,0,0.0198,133750,106,3875.551,34
Broad & Santa Barbara,35.26978,-120.6565,5,San Luis Obispo,135320,11.8154,187.1319,6.961818,76.37015,1,1,0,1,0,1,0.0247,37500,166,7724.715,93
Santa Rosa & Higuera,35.28195,-120.6594,5,San Luis Obispo,768140,13.55173,176.1054,18.11269,93.90118,0,2,0,1,0,1,0.0207,355000,1445,9501.971,101
Santa Rosa & Marsh,35.28119,-120.6587,5,San Luis Obispo,539719,13.1988,193.357,14.75556,94.059,0,1,1,1,0,1,0.029,378750,750,9226.111,98
Poinsettia & Tank Farm,35.24932,-120.6405,5,San Luis Obispo,173665,12.06488,22.10142,0.3466477,7.962393,0,1,0,1,0,0,0.0245,42500,13,6024.799,88
Brookpine & Tank Farm,35.25022,-120.6306,5,San Luis Obispo,59266,10.98979,6.558834,0.02565385,2.163474,0,1,0,0,0,0,0.0603,0,1,4361.112,52
Broad & Capitolio,35.25631,-120.6469,5,San Luis Obispo,70425,11.1623,82.65655,5.212437,35.69779,1,0,0,0,0,0,0.0102,22500,61,3214.24,28
Broad & Industrial,35.25108,-120.6446,5,San Luis Obispo,46947,10.75677,24.43259,0.490205,11.74953,1,0,0,1,0,1,0.041,2.00E+05,208,2931.688,34
Broad & Tank Farm,35.24835,-120.643,5,San Luis Obispo,384243,12.85903,23.2678,0.4184753,9.857252,1,1,0,1,0,1,0.0219,856250,863,3619.049,54
Broad & Aero,35.24097,-120.638,5,San Luis Obispo,6910,8.840725,22.10142,0.3466478,7.962394,1,0,0,1,0,1,0.0212,0,146,4665.947,44
Broad & Airport,35.23958,-120.6367,5,San Luis Obispo,1830,7.512072,22.10142,0.3466478,7.962394,1,0,1,0,0,0,0.0143,6250,108,3174.282,29
California & Hathway,35.29245,-120.6616,5,San Luis Obispo,129376,11.77048,314.9694,28.77216,114.6301,0,0,0,0,0,0,0.0284,1250,6,7698.587,100
Santa Rosa & Highland,35.29847,-120.6738,5,San Luis Obispo,265936,12.49101,111.3496,5.911915,36.79177,1,0,0,1,0,1,0.0579,2500,2,5662.699,61
California & Taft,35.29097,-120.6603,5,San Luis Obispo,66525,11.10533,311.44,28.6593,113.6302,0,1,0,0,0,0,0.0076,17500,48,10157.88,126
California & Mill,35.28759,-120.6559,5,San Luis Obispo,143985,11.87746,193.0346,8.063733,71.5375,0,1,0,1,0,1,0.0964,245000,113,9037.968,129
California & Monterey,35.28608,-120.6546,5,San Luis Obispo,266594,12.49348,193.048,8.074339,71.5811,0,2,0,1,0,1,0.0496,276250,345,8476.502,112
California & Marsh,35.28475,-120.6533,5,San Luis Obispo,348418,12.76116,138.0906,5.556263,51.62503,0,1,0,1,0,0,0.0242,301250,345,6769.154,81
Chorro & Higuera,35.2799,-120.6629,5,San Luis Obispo,4359721,15.28792,135.6795,18.45427,70.52943,0,1,0,1,0,1,0.0195,1210000,1619,11072.81,114
Chorro & Marsh,35.27911,-120.6622,5,San Luis Obispo,2765164,14.83261,137.7446,14.62372,64.62277,0,1,0,1,0,1,0.0169,1170000,1707,10776.9,112
California & Foothill,35.295,-120.6638,5,San Luis Obispo,1340944,14.10888,270.8671,22.2147,65.31435,0,1,0,1,0,1,0.0225,2500,8,6380.012,65
Broad & Foothill,35.2941,-120.6717,5,San Luis Obispo,349602,12.76455,254.4654,9.172791,93.66931,1,0,1,0,0,1,0.0327,273750,301,7058.21,66
Chorro & Foothill,35.29409,-120.6709,5,San Luis Obispo,422809,12.95468,283.57,9.769965,103.0664,1,0,1,1,0,1,0.0164,320000,371,7338.112,68
Santa Rosa & Foothill,35.29406,-120.6678,5,San Luis Obispo,513652,13.1493,235.7099,11.774,79.64214,1,1,0,1,0,1,0.0283,488750,316,8471.919,96
Tassajara & Foothill,35.29415,-120.678,5,San Luis Obispo,87922,11.38421,201.3287,4.885177,73.20034,1,0,0,1,0,1,0.0295,17500,43,7983.139,87
Patricia & Foothill,35.29415,-120.6835,5,San Luis Obispo,109830,11.60669,117.6127,0,40.48943,1,0,1,0,0,1,0.0288,3750,5,6803.911,84
Grand & Slack,35.296,-120.6532,5,San Luis Obispo,348337,12.76093,188.5175,15.15333,28.63117,0,1,0,1,2,0,0.0466,435000,2002,6064.062,69
Grand & Fredericks,35.29307,-120.6531,5,San Luis Obispo,73618,11.20664,198.0725,19.11587,56.75418,0,1,0,0,0,0,0.0575,13750,18,11762.63,182
Broad & Marsh,35.27812,-120.6638,5,San Luis Obispo,1185197,13.98542,160.1393,15.05461,77.77943,0,2,0,1,0,1,0.0207,767500,1155,9552.474,93
